iter	Logloss
0	0.6710245743
1	0.6504157689
2	0.631664566
3	0.6146150665
4	0.5993979619
5	0.5850930379
6	0.5724854101
7	0.5607099991
8	0.5497545497
9	0.539615064
10	0.5305925598
11	0.522464887
12	0.5150252558
13	0.5079342677
14	0.5015501506
15	0.4959587504
16	0.4906032384
17	0.4856554362
18	0.4813224436
19	0.4774514338
20	0.4739349213
21	0.4702573751
22	0.4671814906
23	0.464306605
24	0.4615234655
25	0.4590630086
26	0.4566471888
27	0.4546940028
28	0.4528723297
29	0.4509150798
30	0.449199206
31	0.4477885437
32	0.4463221258
33	0.4452062352
34	0.4438434321
35	0.44277712
36	0.4416986186
37	0.4407176819
38	0.4396550191
39	0.4386031316
40	0.4379092992
41	0.4371498795
42	0.4364952342
43	0.4357766902
44	0.4351128464
45	0.434529803
46	0.4339324315
47	0.4334416682
48	0.4329083125
49	0.4323347193
50	0.4317318802
51	0.4313787282
52	0.4309392217
53	0.4305848948
54	0.4301966248
55	0.4298167394
56	0.4294241155
57	0.4290376104
58	0.4287075577
59	0.4283541768
60	0.4279817657
61	0.4277098058
62	0.4274191208
63	0.427128746
64	0.4268350042
65	0.4264580053
66	0.426161171
67	0.425925649
68	0.4256577988
69	0.4254306183
70	0.4251728668
71	0.4248836695
72	0.4245838598
73	0.424313886
74	0.4239947942
75	0.4237555745
76	0.4235381368
77	0.423428182
78	0.4232079315
79	0.4229479472
80	0.4227266261
81	0.4225142365
82	0.4223142344
83	0.4221701609
84	0.4220149002
85	0.421918045
86	0.4217838771
87	0.4215823644
88	0.4213692602
89	0.4211177724
90	0.4209090246
91	0.4207798386
92	0.4206243718
93	0.4204966736
94	0.4203445333
95	0.4201885452
96	0.4200592779
97	0.4198743617
98	0.4197353083
99	0.4195208639
100	0.4193901037
101	0.4192502975
102	0.4190370611
103	0.4188384628
104	0.4187582753
105	0.4186007767
106	0.4184438782
107	0.4183384221
108	0.4182538986
109	0.4181152852
110	0.4180195592
111	0.4178435669
112	0.4176927541
113	0.4174800771
114	0.4172995478
115	0.4171736984
116	0.417019722
117	0.4169189301
118	0.4168389231
119	0.4166493378
120	0.4164885356
121	0.4163814494
122	0.4163204219
123	0.4161896159
124	0.4160512746
125	0.4159808909
126	0.4158887863
127	0.4158074671
128	0.4156983337
129	0.4156390966
130	0.4155122833
131	0.4153086522
132	0.4152267431
133	0.4151054408
134	0.4149708481
135	0.4148848292
136	0.4147976837
137	0.4146884486
138	0.4145699895
139	0.4144778137
140	0.4142892583
141	0.4141461538
142	0.4140638504
143	0.4139259542
144	0.4138611959
145	0.4138100739
146	0.4136877263
147	0.4136207962
148	0.4135403366
149	0.4134385935
150	0.4133135401
151	0.4132352626
152	0.4131639175
153	0.4130835826
154	0.4130045776
155	0.4129049733
156	0.4128064321
157	0.4127137375
158	0.4125723597
159	0.4124977926
160	0.4123396581
161	0.4122325338
162	0.4121393789
163	0.4119656932
164	0.41191701
165	0.4117861125
166	0.4117021434
167	0.4116328761
168	0.411541364
169	0.4114863332
170	0.4113895187
171	0.4112895711
172	0.4112557424
173	0.4112131831
174	0.4111420568
175	0.4110596364
176	0.4109436366
