iter	Passed	Remaining
0	11	11420
1	19	9869
2	26	8692
3	30	7702
4	36	7335
5	43	7180
6	49	7037
7	55	6877
8	62	6848
9	68	6775
10	74	6709
11	81	6707
12	88	6691
13	96	6766
14	102	6760
15	110	6778
16	117	6812
17	124	6801
18	131	6787
19	137	6743
20	142	6642
21	148	6604
22	154	6578
23	161	6566
24	167	6542
25	173	6505
26	179	6472
27	186	6477
28	193	6477
29	199	6464
30	206	6454
31	213	6471
32	220	6455
33	227	6457
34	233	6449
35	239	6426
36	246	6413
37	252	6390
38	259	6383
39	265	6363
40	269	6307
41	276	6311
42	282	6297
43	289	6290
44	296	6284
45	303	6287
46	309	6280
47	315	6256
48	322	6250
49	328	6236
50	335	6242
51	341	6234
52	347	6214
53	355	6225
54	362	6224
55	369	6220
56	375	6218
57	383	6221
58	390	6227
59	396	6219
60	403	6216
61	409	6201
62	416	6192
63	423	6199
64	430	6197
65	437	6184
66	443	6182
67	450	6174
68	457	6167
69	462	6149
70	469	6142
71	475	6127
72	481	6111
73	487	6104
74	493	6089
75	499	6076
76	506	6070
77	512	6052
78	518	6041
79	524	6028
80	529	6011
81	536	6005
82	543	5999
83	549	5990
84	555	5981
85	561	5965
86	568	5962
87	574	5952
88	580	5941
89	587	5936
90	593	5923
91	600	5922
92	606	5910
93	612	5898
94	618	5891
95	624	5880
96	630	5866
97	637	5864
98	643	5859
99	650	5851
100	656	5845
101	664	5848
102	670	5838
103	676	5827
104	682	5816
105	688	5804
106	694	5792
107	700	5784
108	706	5774
109	712	5768
110	719	5759
111	725	5750
112	731	5742
113	737	5729
114	743	5721
115	750	5718
116	757	5715
117	763	5705
118	768	5693
119	775	5686
120	790	5746
121	797	5741
122	803	5730
123	809	5718
124	816	5714
125	822	5702
126	828	5692
127	834	5683
128	840	5672
129	846	5662
130	852	5657
131	859	5652
132	865	5640
133	871	5633
134	877	5623
135	883	5614
136	890	5607
137	896	5599
138	902	5592
139	908	5583
140	915	5575
141	921	5566
142	927	5555
143	933	5547
144	938	5535
145	944	5527
146	951	5522
147	957	5511
148	964	5506
149	980	5554
150	986	5544
151	992	5536
152	999	5532
153	1007	5532
154	1015	5534
155	1025	5548
156	1034	5554
157	1061	5656
158	1080	5715
159	1092	5736
160	1103	5748
161	1112	5752
162	1122	5761
163	1131	5765
164	1138	5763
165	1145	5754
166	1151	5744
167	1158	5737
168	1164	5728
169	1170	5715
170	1177	5706
171	1182	5694
172	1188	5683
173	1195	5673
174	1200	5659
175	1207	5651
176	1213	5640
177	1219	5629
178	1225	5620
179	1231	5609
180	1237	5598
181	1243	5587
182	1248	5574
183	1256	5570
184	1262	5562
185	1268	5552
186	1275	5544
187	1281	5533
188	1287	5523
189	1293	5514
190	1299	5502
191	1306	5496
192	1312	5486
193	1318	5478
194	1324	5468
195	1330	5459
196	1337	5450
197	1343	5442
198	1349	5433
199	1356	5425
200	1363	5420
201	1370	5413
202	1377	5407
203	1383	5398
204	1389	5389
205	1395	5377
206	1401	5369
207	1407	5361
208	1413	5351
209	1420	5345
210	1426	5334
211	1432	5326
212	1439	5317
213	1444	5306
214	1451	5298
215	1457	5288
216	1462	5277
217	1469	5271
